POSTE;DATE;RR1;QRR1;DRR1;QDRR1;HNEIGEF;QHNEIGEF;NEIGETOT;QNEIGETOT;T;QT;TD;QTD;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;DG;QDG;T10;QT10;T20;QT20;T50;QT50;T100;QT100;TNSOL;QTNSOL;TN50;QTN50;TCHAUSSEE;QTCHAUSSEE;TW;QTW;PSTAT;QPSTAT;PMER;QPMER;GEOP;QGEOP;PMERMIN;QPMERMIN;FF;QFF;DD;QDD;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2;QFF2;DD2;QDD2;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;U;QU;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UABS;QUABS;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;DHUMEC;QDHUMEC;TSV;QTSV;ENTH;QENTH;INS;QINS;GLO;QGLO;DIR;QDIR;DIF;QDIF;GLO2;QGLO2;UV;QUV;INFRAR;QINFRAR;UV_INDICE;QUV_INDICE;N;QN;NBAS;QNBAS;CL;QCL;CM;QCM;CH;QCH;N1;QN1;C1;QC1;B1;QB1;N2;QN2;C2;QC2;B2;QB2;N3;QN3;B3;QB3;C3;QC3;N4;QN4;C4;QC4;B4;QB4;WW;QWW;VV;QVV;DVV200;QDVV200;W1;QW1;W2;QW2;SOL;QSOL;SOLNG;QSOLNG;TSNEIGE;QTSNEIGE;TUBENEIGE;QTUBENEIGE;ESNEIGE;QESNEIGE;HNEIGEFI3;QHNEIGEFI3;HNEIGEFI1;QHNEIGEFI1;TMER;QTMER;VVMER;QVVMER;ETATMER;QETATMER;DIRHOULE;QDIRHOULE;TLAGON;QTLAGON;UV2;QUV2;INS2;QINS2;INFRAR2;QINFRAR2;DIR2;QDIR2;DIF2;QDIF2
76217001;2010010100;0,0;9;;;;;;;2,6;1;-0,3;9;2,1;1;2351;9;3,0;1;2315;9;0;9;;;;;;;;;;;;;;;1,5;9;992,6;9;997,3;1;;;997,1;9;8,8;1;60;1;17,0;9;40;1;2323;9;10,5;1;50;1;2332;9;;;;;;;;;;;;;;;;;82;9;78;9;2324;9;82;9;2301;9;4,7;9;0;9;48;9;;;6,0;9;12,0;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010101;0,0;9;;;;;;;1,7;1;-1,2;9;1,7;1;57;9;2,6;1;8;9;0;9;;;;;;;;;;;;;;;0,7;9;992,5;9;997,2;1;;;997,5;9;5,9;1;70;1;15,0;9;50;1;28;9;9,7;1;60;1;6;9;;;;;;;;;;;;;;;;;81;9;80;9;6;9;84;9;47;9;4,4;9;0;9;60;9;;;5,6;9;10,4;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010102;0,0;9;;;;;;;2,1;1;-1,2;9;1,6;1;119;9;2,3;1;158;9;0;9;;;;;;;;;;;;;;;0,9;9;992,7;9;997,4;1;;;997,4;9;9,9;1;60;1;16,0;9;40;1;154;9;10,2;1;60;1;157;9;;;;;;;;;;;;;;;;;79;9;79;9;154;9;83;9;136;9;4,4;9;0;9;56;9;;;5,6;9;10,8;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010103;0,0;9;;;;;;;2,0;1;-1,2;9;1,8;1;255;9;2,3;1;206;9;0;9;;;;;;;;;;;;;;;0,9;9;992,7;9;997,4;1;;;997,7;9;9,1;1;60;1;15,0;9;60;1;231;9;10,0;1;60;1;203;9;;;;;;;;;;;;;;;;;80;9;77;9;231;9;81;9;206;9;4,4;9;0;9;23;9;;;5,6;9;10,7;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010104;0,0;9;;;;;;;1,7;1;-1,7;9;1,4;1;353;9;2,0;1;314;9;0;9;;;;;;;;;;;;;;;0,5;9;993,0;9;997,7;1;;;997,7;9;9,2;1;60;1;17,0;9;50;1;349;9;11,6;1;60;1;330;9;;;;;;;;;;;;;;;;;78;9;76;9;321;9;80;9;306;9;4,3;9;0;9;2;9;;;5,4;9;10,0;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010105;0,0;9;;;;;;;1,5;1;-2,2;9;1,1;1;448;9;1,7;1;423;9;0;9;;;;;;;;;;;;;;;0,2;9;993,4;9;998,1;1;;;998,1;9;8,2;1;60;1;15,0;9;50;1;418;9;9,3;1;60;1;401;9;;;;;;;;;;;;;;;;;77;9;75;9;419;9;79;9;414;9;4,1;9;0;9;0;9;;;5,2;9;9,6;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;300;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;3;9;;;;;;;;;;;;;;
76217001;2010010106;0,0;9;;;;;;;0,6;1;-3,0;9;0,6;1;556;9;1,7;1;507;9;0;9;;;;;;;;;;;;;;;-0,6;9;994,1;9;998,8;1;;;998,5;9;6,2;1;70;1;17,0;9;50;1;524;9;9,5;1;60;1;508;9;;;;;;;;;;;;;;;;;76;9;74;9;510;9;77;9;502;9;3,9;9;0;9;0;9;;;4,9;9;8,1;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;500;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010107;0,0;9;;;;;;;1,1;1;-2,5;9;0,5;1;608;9;1,3;1;655;9;0;9;;;;;;;;;;;;;;;-0,1;9;994,5;9;999,2;1;;;999,4;9;6,1;1;60;1;11,0;9;40;1;655;9;6,4;1;70;1;605;9;;;;;;;;;;;;;;;;;77;9;76;9;601;9;79;9;654;9;4,0;9;0;9;0;9;;;5,1;9;9,0;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;500;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010108;0,0;9;;;;;;;1,6;1;-2,5;9;0,8;1;712;9;1,9;1;746;9;0;9;;;;;;;;;;;;;;;0,2;9;995,5;9;1000,2;1;;;999,7;9;8,3;1;60;1;15,0;9;60;1;734;9;10,6;1;50;1;743;9;;;;;;;;;;;;;;;;;75;9;73;9;738;9;80;9;715;9;4,0;9;0;9;1;9;;;5,1;9;9,6;9;;;;;;;;;;;;;;;;;8;9;8;9;5;9;;;;;8;9;7;9;500;9;;;;;;;;;;;;;;;;;;;3;9;12000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010109;0,0;9;;;;;;;2,4;1;-1,7;9;1,7;1;801;9;2,5;1;852;9;0;9;;;;;;;;;;;;;;;0,9;9;996,4;9;1001,1;1;;;1000,5;9;7,8;1;40;1;16,0;9;60;1;828;9;10,0;1;50;1;828;9;;;;;;;;;;;;;;;;;74;9;72;9;851;9;77;9;822;9;4,2;9;0;9;0;9;;;5,4;9;10,7;9;;;;;;;;;;;;;;;;;6;9;6;9;2;9;0;9;0;9;6;9;8;9;500;9;;;;;;;;;;;;;;;;;;;3;9;16000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010110;0,0;9;;;;;;;2,5;1;-1,4;9;2,4;1;902;9;2,6;1;916;9;0;9;;;;;;;;;;;;;;;1,1;9;997,1;9;1001,8;1;;;1001,5;9;9,7;1;50;1;15,0;9;40;1;901;9;10,6;1;50;1;951;9;;;;;;;;;;;;;;;;;75;9;72;9;912;9;77;9;958;9;4,3;9;0;9;0;9;;;5,5;9;11,0;9;;;;;;;;;;;;;;;;;6;9;6;9;2;9;0;9;0;9;6;9;8;9;500;9;;;;;;;;;;;;;;;;;;;3;9;16000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010111;0,0;9;;;;;;;2,5;1;-2,0;9;2,4;1;1003;9;2,8;1;1043;9;0;9;;;;;;;;;;;;;;;0,9;9;997,7;9;1002,4;1;;;1002,2;9;10,4;1;60;1;15,0;9;60;1;1054;9;10,5;1;60;1;1025;9;;;;;;;;;;;;;;;;;72;9;72;9;1027;9;76;9;1001;9;4,2;9;0;9;0;9;;;5,3;9;10,7;9;;;;;;;;;;;;;;;;;6;9;6;9;2;9;0;9;0;9;6;9;8;9;500;9;;;;;;;;;;;;;;;;;;;3;9;16000;9;;;;;;;;;;;;;;;;;;;;;;;7;9;4;9;;;;;;;;;;;;;;
76217001;2010010112;0,0;9;;;;;;;2,8;1;-1,7;9;2,5;1;1101;9;2,9;1;1144;9;0;9;;;;;;;;;;;;;;;1,2;9;998,2;9;1002,9;1;;;1002,7;9;8,3;1;60;1;14,0;9;60;1;1109;9;10,6;1;60;1;1102;9;;;;;;;;;;;;;;;;;72;9;70;9;1159;9;75;9;1103;9;4,2;9;0;9;0;9;;;5,4;9;11,1;9;;;;;;;;;;;;;;;;;3;9;2;9;9;9;0;9;4;9;2;9;9;9;1000;9;3;9;0;9;6000;9;;;;;;;;;;;;;3;9;40000;9;;;1;9;1;9;;;;;;;;;;;;;;;;;8;9;4;9;;;;;;;;;;;;;;
76217001;2010010113;0,0;9;;;;;;;2,9;1;-2,7;9;2,8;1;1201;9;3,1;1;1254;9;0;9;;;;;;;;;;;;;;;0,9;9;998,9;9;1003,6;1;;;1003,3;9;6,5;1;50;1;12,0;9;60;1;1206;9;8,6;1;60;1;1207;9;;;;;;;;;;;;;;;;;66;9;66;9;1259;9;73;9;1202;9;3,9;9;0;9;0;9;;;5,0;9;10,6;9;;;;;;;;;;;;;;;;;3;9;2;9;9;9;0;9;4;9;2;9;9;9;1000;9;3;9;0;9;6000;9;;;;;;;;;;;;;3;9;40000;9;;;1;9;1;9;;;;;;;;;;;;;;;;;8;9;4;9;;;;;;;;;;;;;;
76217001;2010010114;0,0;9;;;;;;;3,2;1;-2,5;9;2,9;1;1301;9;3,4;1;1333;9;0;9;;;;;;;;;;;;;;;1,2;9;1000,0;9;1004,7;1;;;1004,0;9;4,1;1;50;1;10,0;9;40;1;1314;9;6,6;1;50;1;1301;9;;;;;;;;;;;;;;;;;67;9;64;9;1345;9;69;9;1306;9;4,0;9;0;9;0;9;;;5,1;9;11,2;9;;;;;;;;;;;;;;;;;3;9;2;9;9;9;0;9;4;9;2;9;9;9;1000;9;3;9;0;9;6000;9;;;;;;;;;;;;;3;9;40000;9;;;1;9;1;9;;;;;;;;;;;;;;;;;8;9;4;9;;;;;;;;;;;;;;
76217001;2010010115;0,2;9;;;;;;;1,1;1;0,0;9;1,1;1;1457;9;3,3;1;1421;9;0;9;;;;;;;;;;;;;;;0,7;9;1001,3;9;1006,0;1;;;1005,1;9;6,8;1;360;1;14,0;9;350;1;1435;9;9,7;1;350;1;1442;9;;;;;;;;;;;;;;;;;92;9;63;9;1413;9;92;9;1458;9;4,8;9;0;9;33;9;;;6,1;9;10,5;9;;;;;;;;;;;;;;;;;8;9;8;9;0;9;2;9;0;9;8;9;5;9;500;9;;;;;;;;;;;;;;;;;;;22;9;1000;9;;;2;9;2;9;;;;;;;;;;;;;;;;;4;9;4;9;;;;;;;;;;;;;;
76217001;2010010116;0,4;9;;;;;;;0,8;1;0,2;9;0,6;1;1537;9;1,2;1;1503;9;0;9;;;;;;;;;;;;;;;0,6;9;1002,1;9;1006,8;1;;;1006,4;9;0,8;1;130;1;10,0;9;10;1;1501;9;6,9;1;360;1;1501;9;;;;;;;;;;;;;;;;;95;9;93;9;1501;9;95;9;1525;9;4,9;9;0;9;60;9;;;6,2;9;10,3;9;;;;;;;;;;;;;;;;;8;9;8;9;0;9;2;9;0;9;8;9;5;9;500;9;;;;;;;;;;;;;;;;;;;22;9;1000;9;;;2;9;2;9;;;;;;;;;;;;;;;;;4;9;4;9;;;;;;;;;;;;;;
