num_cell,nom_cell,emprise,territoire
0,Cellule non définie,Emprise du projet,METROPOLE
0,Cellule non définie,Hors emprise,METROPOLE
1,Cap d'Antifer au Cap de la Hève,Emprise du projet,METROPOLE
1,Cap d’Antifer aux jetées du port de Fécamp,Emprise du projet,METROPOLE
1,Lupino à l’embouchure du Golo,Emprise du projet,METROPOLE
1,Lupino à l’embouchure du Golo,Hors emprise,METROPOLE
1,Pointe de Chémoulin au pont de Saint-Nazaire (nord),Emprise du projet,METROPOLE
1,Pointe de Chémoulin au pont de Saint-Nazaire (nord),Hors emprise,METROPOLE
1,Pointe de Suzac à la pointe de Grave,Emprise du projet,METROPOLE
1,Pointe de Suzac à la pointe de Grave,Hors emprise,METROPOLE
1,Pointe du Hourdel (baie de Somme) à la pointe de Routhiauville,Emprise du projet,METROPOLE
1,Pointe du Hourdel (baie de Somme) à la pointe de Routhiauville,Hors emprise,METROPOLE
2,Cap de la Hève à la digue du jardin des personnalités (estuaire de la Seine),Emprise du projet,METROPOLE
2,Cap de la Hève à la digue du jardin des personnalités (estuaire de la Seine),Hors emprise,METROPOLE
2,Embouchure du Golo au port de Taverna,Emprise du projet,METROPOLE
2,Embouchure du Golo au port de Taverna,Hors emprise,METROPOLE
2,Jetée du port de Fécamp aux jetées de la centrale de Paluel,Emprise du projet,METROPOLE
2,Jetée du port de Fécamp aux jetées de la centrale de Paluel,Hors emprise,METROPOLE
2,Pointe de Grave à la pointe de la Négade,Emprise du projet,METROPOLE
2,Pointe de nez du Chien à la pointe Saint-Gildas,Emprise du projet,METROPOLE
2,Pointe de Routhiauville (baie d'Authie) à la pointe du Touquet,Emprise du projet,METROPOLE
2,Pointe de Routhiauville (baie d'Authie) à la pointe du Touquet,Hors emprise,METROPOLE
3,Digue du jardin des personnalités aux jetées de l'embouchure de l’Orne,Emprise du projet,METROPOLE
3,Digue du jardin des personnalités aux jetées de l'embouchure de l’Orne,Hors emprise,METROPOLE
3,Jetées de la centrale de Paluel aux jetées du port de Saint-Valéry-en-Caux,Emprise du projet,METROPOLE
3,Pointe de la Négade à Dépé,Emprise du projet,METROPOLE
3,Pointe du Touquet (baie de Canche) à la digue Carnot (Boulogne-sur-Mer),Emprise du projet,METROPOLE
3,Pointe du Touquet (baie de Canche) à la digue Carnot (Boulogne-sur-Mer),Hors emprise,METROPOLE
3,Pointe Saint-Gildas au port du Collet (Moutiers-en-Retz),Emprise du projet,METROPOLE
3,Port de Taverna à l’embouchure du Tavignano,Emprise du projet,METROPOLE
3,Port de Taverna à l’embouchure du Tavignano,Hors emprise,METROPOLE
4,Dépé à la zone de transition du Cap-Ferret,Emprise du projet,METROPOLE
4,Digue Carnot (Boulogne-sur-Mer) au cap Gris-Nez,Emprise du projet,METROPOLE
4,Digue Carnot (Boulogne-sur-Mer) au cap Gris-Nez,Hors emprise,METROPOLE
4,Embouchure du Tavignano au port de Solenzara,Emprise du projet,METROPOLE
4,Embouchure du Tavignano au port de Solenzara,Hors emprise,METROPOLE
4,Jetées de l'embouchure de l'Orne aux jetées du port de Grandcamp,Emprise du projet,METROPOLE
