POSTE;DATE;RR1;QRR1;DRR1;QDRR1;HNEIGEF;QHNEIGEF;NEIGETOT;QNEIGETOT;T;QT;TD;QTD;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;DG;QDG;T10;QT10;T20;QT20;T50;QT50;T100;QT100;TNSOL;QTNSOL;TN50;QTN50;TCHAUSSEE;QTCHAUSSEE;TW;QTW;PSTAT;QPSTAT;PMER;QPMER;GEOP;QGEOP;PMERMIN;QPMERMIN;FF;QFF;DD;QDD;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2;QFF2;DD2;QDD2;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;U;QU;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UABS;QUABS;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;DHUMEC;QDHUMEC;TSV;QTSV;ENTH;QENTH;INS;QINS;GLO;QGLO;DIR;QDIR;DIF;QDIF;GLO2;QGLO2;UV;QUV;INFRAR;QINFRAR;UV_INDICE;QUV_INDICE;N;QN;NBAS;QNBAS;CL;QCL;CM;QCM;CH;QCH;N1;QN1;C1;QC1;B1;QB1;N2;QN2;C2;QC2;B2;QB2;N3;QN3;B3;QB3;C3;QC3;N4;QN4;C4;QC4;B4;QB4;WW;QWW;VV;QVV;DVV200;QDVV200;W1;QW1;W2;QW2;SOL;QSOL;SOLNG;QSOLNG;TSNEIGE;QTSNEIGE;TUBENEIGE;QTUBENEIGE;ESNEIGE;QESNEIGE;HNEIGEFI3;QHNEIGEFI3;HNEIGEFI1;QHNEIGEFI1;TMER;QTMER;VVMER;QVVMER;ETATMER;QETATMER;DIRHOULE;QDIRHOULE;TLAGON;QTLAGON;UV2;QUV2;INS2;QINS2;INFRAR2;QINFRAR2;DIR2;QDIR2;DIF2;QDIF2
76217001;1999010100;0,0;1;;;;;;;8,0;1;4,6;1;7,8;1;;;8,5;1;;;;;;;;;;;;;;;;;;;6,5;1;999,2;1;1003,3;1;;;;;3,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;1;;;;;;;;;6,6;1;;;;;;;8,5;1;21,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010101;0,0;1;;;;;;;7,9;1;4,5;1;7,3;1;;;8,0;1;;;;;;;;;;;;;;;;;;;6,4;1;999,4;1;1003,5;1;;;;;3,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;1;;;;;;;;;6,5;1;;;;;;;8,4;1;21,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010102;0,0;1;;;;;;;8,1;1;4,3;1;7,5;1;;;8,1;1;;;;;;;;;;;;;;;;;;;6,4;1;1000,0;1;1004,1;1;;;;;4,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;1;;;;;;;;;6,4;1;;;;;;;8,3;1;21,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010103;0,0;1;;;;;;;8,3;1;4,3;1;8,0;1;;;8,3;1;;;;;;;;;;;;;;;;;;;6,5;1;999,9;1;1004,0;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;1;;;;;;;;;6,4;1;;;;;;;8,3;1;21,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010104;0,0;1;;;;;;;7,4;1;4,2;1;7,3;1;;;8,3;1;;;;;;;;;;;;;;;;;;;6,0;1;1000,0;1;1004,1;1;;;;;4,0;1;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;1;;;;;;;;;6,3;1;;;;;;;8,2;1;20,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010105;0,0;1;;;;;;;7,4;1;4,0;1;7,2;1;;;7,5;1;;;;;;;;;;;;;;;;;;;5,9;1;1000,4;1;1004,5;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;1;;;;;;;;;6,3;1;;;;;;;8,1;1;20,1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010106;0,0;1;;;;;;;6,6;1;3,9;1;6,6;1;;;7,4;1;;;;;;;;;;;;;;;;;;;5,5;1;1001,0;1;1005,1;1;;;;;3,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;1;;;;;;;;;6,3;1;;;;;;;8,1;1;19,2;1;;;;;;;;;;;;;;;;;1;1;;;0;1;3;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;0;1;35000;1;;;;;;;1;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
76217001;1999010107;0,0;1;;;;;;;6,2;1;3,7;1;6,2;1;;;6,7;1;;;;;;;;;;;;;;;;;;;5,2;1;1001,9;1;1006,1;1;;;;;4,0;1;180;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;1;;;;;;;;;6,2;1;;;;;;;8,0;1;18,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010108;0,0;1;;;;;;;6,7;1;3,9;1;6,0;1;;;6,9;1;;;;;;;;;;;;;;;;;;;5,5;1;1002,7;1;1006,9;1;;;;;4,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;1;;;;;;;;;6,3;1;;;;;;;8,1;1;19,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76217001;1999010109;0,0;1;;;;;;;6,8;1;4,1;1;6,3;1;;;6,8;1;;;;;;;;;;;;;;;;;;;5,6;1;1003,4;1;1007,6;1;;;;;3,0;1;170;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;1;;;;;;;;;6,3;1;;;;;;;8,2;1;19,6;1;;;;;;;;;;;;;;;;;6;1;6;1;0;1;0;1;6;1;6;9;0;9;6000;9;;;;;;;;;;;;;;;;;;;3;1;40000;1;;;0;1;0;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
